ア,a,アク,ak
ペ,pe,フォス,feus
ヘル,hel,フック,hock
ベル,bel,ベア,bear
ホ,ho,ベス,beth
ボ,vo,ベック,beck
ポ,po,ベット,bed
マ,ma,ヘド,hed
ミ,mi,ベルク,berk
ミシ,mis,ベルト,belt
ミシェ,mish,ボー,bor
ミシャ,misha,ホーク,hawk
ミシュ,mys,ホース,horse
ム,mu,ボス,boss
メ,me,ポン,bon
モ,mo,ポンド,pond
モナ,mona,ミー,my
ヤ,ya,ミス,miss
ユ,ju,ミア,mia
ヨ,jo,ミック,mick
ラ,ra,ム,m
ライ,rai,ムー,mer
ライア,reia,ムス,mos
ライオ,lio,メス,mes
ラザ,laz,モック,mock
リ,li,モフ,mof
ル,lu,ヤ,ya
レ,le,ヤス,yas
レオ,leo,ヤン,yan
レバ,leva,ユン,yun
ロ,ro,ヨン,yon
ログ,log,ラ,ra
ロシ,rossi,ラーガ,larg
ロバ,lova,ラード,lard
ロベ,robe,ライス,rice
ワ,wa,ライ,ly
ワグ,wag,ラグ,lag
ワイ,wy,ラス,lass
,,ラック,rak
,,ラッタ,letta
,,ラナ,rana
,,ラフ,raf
,,ラルク,ralk
,,ラルド,rald
,,リ,li
,,リア,ria
,,リーン,line
,,リーツ,lite
,,リス,liss
,,リズ,liz
,,リック,rick
,,リッタ,ritta
,,ル,rul
,,ルー,lur
,,ルイン,ruin
,,ルート,root
,,ルス,loss
,,ルッタ,loot
,,レ,ry
,,レア,rea
,,レイ,rey
,,レー,ler
,,レス,ress
,,レズ,lez
,,レッタ,retta
,,レル,rel
,,ロ,law
,,ロア,loa
,,ロイ,roy
,,ロー,roer
,,ローグ,lerg
,,ローツ,lort
,,ロート,rot
,,ロード,lord
,,ログ,log
,,ロス,loth
,,ロズ,loz
,,ロック,rock
,,ロッタ,rotta
,,ロット,lot
,,ロナ,rona
,,ロフ,rof
,,ロン,ron
,,ロンド,lond
,,ワー,wer
,,ワーツ,wert
,,ワート,wart
,,ワード,ward
,,ン,won
,,ンガ,er
,,ンコ,chael
,,ンゴ,tony
,,ンソー,nsor
,,ンダ,seth
,,ンナ,nna
,,ンバ,nnba

